"family","id","kind","directDamage","source","damageType","delivery","technique","theme"
"card","starstonePebble","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","cometFragment","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","starbladePhalanx","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","crystalBarrier","skill","false","","","","","theme:astral"
"card","starShower","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","scholarsInsight","skill","false","","","","","theme:astral"
"card","frostVeil","skill","false","","","","","theme:astral"
"card","starSlicer","attack","true","spell","arcane","delivery:melee","","theme:astral"
"card","starstoneWard","skill","false","","","","","theme:astral"
"card","starlance","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","twinkling","skill","false","","","","","theme:astral"
"card","frostNova","attack","true","spell","arcane","","","theme:astral"
"card","starstoneArc","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","lucidity","skill","false","","","","","theme:astral"
"card","stargazerCard","power","false","","","","","theme:astral"
"card","astralArmorCard","power","false","","","","","theme:astral"
"card","moonrendCut","attack","true","spell","arcane","delivery:melee","","theme:astral"
"card","meteorite","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","meteorSwarm","attack","true","spell","arcane","delivery:projectile|delivery:area","","theme:astral"
"card","gravityWell","skill","false","","","","","theme:astral"
"card","azureCoilCard","power","false","","","","","theme:astral"
"card","astralCleave","attack","true","spell","arcane","delivery:melee","","theme:astral"
"card","radiantSpray","attack","true","spell","arcane","delivery:projectile|delivery:area","","theme:astral"
"card","supernova","attack","true","spell","arcane","delivery:area","","theme:astral"
"card","timeDilation","skill","false","","","","","theme:astral"
"card","starstoneKris","attack","true","spell","arcane","delivery:melee","","theme:astral"
"card","constellationCard","power","false","","","","","theme:astral"
"card","starfallBeam","attack","true","spell","arcane","delivery:projectile|delivery:area","","theme:astral"
"card","starcaller","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","umbralWard","skill","false","","","","","theme:astral"
"card","waxingMoonCard","power","false","","","","","theme:astral"
"card","shootingShard","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","wardingStar","skill","false","","","","","theme:astral"
"card","starPath","skill","false","","","","","theme:astral"
"card","moonlitShieldCard","power","false","","","","","theme:astral"
"card","celestialLance","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","astromancerCard","power","false","","","","","theme:astral"
"card","starSpark","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"card","astralInsight","skill","false","","","","","theme:astral"
"card","urgentHeal","skill","false","","","","",""
"card","bloodPact","skill","false","","","","","theme:blood"
"card","blightTouch","attack","true","spell","arcane","delivery:melee","","theme:blight"
"card","flagellation","attack","true","spell","arcane","delivery:melee","",""
"card","penance","skill","false","","","","",""
"card","litany","skill","false","","","","",""
"card","graveOffering","attack","true","spell","arcane","delivery:area","",""
"card","bloodletting","skill","false","","","","","theme:blood"
"card","contagion","skill","false","","","","","theme:blight"
"card","cullTheWeak","attack","true","spell","arcane","","",""
"card","transfusion","skill","false","","","","",""
"card","blightward","skill","false","","","","","theme:blight"
"card","martyrBlood","skill","false","","","","","theme:blood"
"card","blightBloom","skill","false","","","","","theme:blight"
"card","sacredHarvest","attack","true","spell","arcane","","",""
"card","thornHaloCard","power","false","","","","",""
"card","communionCard","power","false","","","","",""
"card","gildedOath","skill","false","","","","","theme:oath"
"card","plagueBearer","attack","true","spell","arcane","","","theme:blight"
"card","exsanguinate","attack","true","spell","arcane","","","theme:blood"
"card","stigmataCard","power","false","","","","",""
"card","scourge","attack","true","spell","arcane","delivery:area","",""
"card","reclamation","skill","false","","","","",""
"card","secondBloom","skill","false","","","","",""
"card","butterflyPlague","skill","false","","","","","theme:blight"
"card","lifeTitheCard","power","false","","","","",""
"card","crimsonRite","attack","true","spell","arcane","","","theme:blood"
"card","blightNova","attack","true","spell","arcane","","","theme:blight"
"card","lastRites","skill","false","","","","",""
"card","zealotryCard","power","false","","","","",""
"card","bloodHarvest","attack","true","spell","arcane","delivery:area","","theme:blood"
"card","painOffering","attack","true","spell","arcane","","","theme:blood"
"card","witheringTouch","attack","true","spell","arcane","delivery:melee","","theme:blight"
"card","desperateRite","attack","true","spell","arcane","","",""
"card","emberTideCard","power","false","","","","",""
"card","bloodOfferingRite","attack","true","spell","arcane","","","theme:blood"
"card","harbingerOfBlightCard","power","false","","","","","theme:blight"
"card","blightwardLash","attack","true","spell","arcane","delivery:melee","","theme:blight"
"card","lastMercy","skill","false","","","","",""
"card","ambush","attack","true","weapon","equipped source","delivery:melee","",""
"card","rogueShiv","attack","true","weapon","equipped source","delivery:melee","technique:flourish",""
"card","smokePellet","skill","false","","","","",""
"card","quickCut","attack","true","weapon","equipped source","delivery:melee","technique:flourish",""
"card","feint","skill","false","","","","",""
"card","backstep","skill","false","","","","technique:flourish",""
"card","twinPrick","attack","true","weapon","equipped source","delivery:melee","technique:flourish",""
"card","pocketSand","skill","false","","","","",""
"card","hamstringRogue","attack","true","weapon","equipped source","delivery:melee","",""
"card","serratedShiv","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","smokeVeil","skill","false","","","","",""
"card","ricochet","attack","true","weapon","piercing","delivery:projectile|delivery:area","",""
"card","lowBlow","attack","true","weapon","equipped source","delivery:melee","",""
"card","pilfer","skill","false","","","","",""
"card","vanish","skill","false","","","","",""
"card","cheapShot","attack","true","weapon","equipped source","delivery:melee","",""
"card","bladeDanceRogue","attack","true","weapon","equipped source","delivery:melee","technique:flourish",""
"card","garrote","attack","true","weapon","equipped source","delivery:melee","","theme:blood"
"card","fanOfKnives","attack","true","weapon","piercing","delivery:projectile|delivery:area","",""
"card","setupRogue","skill","false","","","","",""
"card","acrobaticsRogue","skill","false","","","","technique:flourish",""
"card","disorient","skill","false","","","","",""
"card","coupDeGrace","attack","true","weapon","equipped source","delivery:melee","technique:precision",""
"card","sap","attack","true","weapon","equipped source","delivery:melee","",""
"card","shadowstep","skill","false","","","","technique:flourish",""
"card","afterimageCard","power","false","","","","technique:flourish","theme:oath"
"card","bloodletterRogue","skill","false","","","","","theme:blood"
"card","venomcoat","skill","false","","","","","theme:oath"
"card","misdirect","skill","false","","","","",""
"card","assassinate","attack","true","weapon","equipped source","delivery:melee","technique:precision",""
"card","thousandCutsRogue","attack","true","weapon","equipped source","delivery:melee","technique:flourish",""
"card","deadlyTempoCard","power","false","","","","technique:flourish","theme:oath"
"card","opportunistCard","power","false","","","","","theme:oath"
"card","envenomCard","power","false","","","","","theme:oath"
"card","toxicVolley","skill","false","","","","",""
"card","smokeBomb","skill","false","","","","",""
"card","executionWindow","skill","false","","","","technique:precision",""
"card","perfectHeist","skill","false","","","","",""
"card","deathblow","attack","true","weapon","equipped source","delivery:melee","technique:precision",""
"card","katanaDrawCut","attack","true","weapon","equipped source","delivery:melee","technique:flourish",""
"card","greatswordSunderingHew","attack","true","weapon","equipped source","delivery:melee","technique:heavy",""
"card","honedEdge","skill","false","","","","",""
"card","ironSkin","skill","false","","","","",""
"card","fieldDressing","skill","false","","","","",""
"card","hex","skill","false","","","","",""
"card","transmute","skill","false","","","","",""
"card","twinFang","attack","true","weapon","equipped source","delivery:melee","",""
"card","blindingSand","skill","false","","","","",""
"card","hamstring","skill","false","","","","",""
"card","masterOfStrategy","skill","false","","","","",""
"card","bashingBlow","attack","true","weapon","equipped source","delivery:melee","",""
"card","quickGuard","skill","false","","","","",""
"card","sweepingBlow","attack","true","weapon","equipped source","delivery:area|delivery:melee","technique:cleave",""
"card","enfeeble","skill","false","","","","",""
"card","colossusSmash","attack","true","weapon","equipped source","delivery:melee","technique:heavy",""
"card","wound","status","false","","","","",""
"card","dazed","status","false","","","","",""
"card","slimed","status","false","","","","",""
"card","guilt","curse","false","","","","",""
"card","rallyingBanner","skill","false","","","","",""
"card","sharedFlame","skill","false","","","","",""
"card","ashOath","skill","false","","","","",""
"card","shieldGuardian","skill","false","","","","",""
"card","guardianBulwark","skill","false","","","","",""
"card","shieldBastion","skill","false","","","","",""
"card","spikedReprisal","attack","true","weapon","equipped source","delivery:melee","",""
"armament","straightSword","weapon","true","weapon","slashing","delivery:melee","",""
"armament","greatsword","weapon","true","weapon","slashing","delivery:melee","technique:heavy",""
"armament","dagger","weapon","true","weapon","piercing","delivery:melee","technique:flourish",""
"armament","shortbow","weapon","true","weapon","piercing","delivery:projectile","technique:precision",""
"armament","katana","weapon","true","weapon","slashing","delivery:melee","technique:flourish","theme:blood"
"armament","halberd","weapon","true","weapon","slashing","delivery:melee","technique:heavy",""
"armament","warhammer","weapon","true","weapon","blunt","delivery:melee","technique:heavy",""
"armament","twinblade","weapon","true","weapon","slashing","delivery:melee","technique:flourish",""
"armament","battleaxe","weapon","true","weapon","slashing","delivery:melee","technique:heavy",""
"armament","buckler","shield","true","weapon","blunt","delivery:melee","technique:flourish",""
"armament","kiteShield","shield","true","weapon","blunt","delivery:melee","",""
"armament","towerShield","shield","true","weapon","blunt","delivery:melee","technique:heavy",""
"armament","roundShield","shield","true","weapon","blunt","delivery:melee","",""
"armament","spikedShield","shield","true","weapon","piercing","delivery:melee","",""
"armament","lantern","shield","true","weapon","blunt","delivery:melee","",""
"armament","torch","shield","true","weapon","blunt","delivery:melee","",""
"armament","parryDagger","shield","true","weapon","piercing","delivery:melee","technique:flourish",""
"armament","ashStaff","staff","true","spell","arcane","delivery:projectile","",""
"armament","starstoneStaff","staff","true","spell","arcane","delivery:projectile","","theme:astral"
"armament","boneSceptre","staff","true","spell","arcane","delivery:projectile","","theme:blight"
"armament","emberlightSceptre","staff","true","spell","arcane","delivery:projectile","","theme:oath"
"armament","goldboughBranch","staff","true","spell","arcane","delivery:projectile","","theme:oath"
"armament","blightRod","staff","true","spell","arcane","delivery:projectile","","theme:blight"
"armament","gorefireBrand","staff","true","spell","arcane","delivery:projectile","","theme:blood"
"armament","wyrmhornStaff","staff","true","spell","arcane","delivery:projectile","technique:heavy",""
"basicCardProfile","unarmedAttack","attack","true","unarmed","blunt","delivery:melee","",""
"basicCardProfile","shieldAttack","attack","true","weapon","equipped source","delivery:melee","",""
"basicCardProfile","bladeAttack","attack","true","weapon","equipped source","delivery:melee","",""
"basicCardProfile","daggerPierceAttack","attack","true","weapon","piercing","delivery:melee","technique:flourish",""
"basicCardProfile","bowPierceAttack","attack","true","weapon","piercing","delivery:projectile","technique:precision",""
"basicCardProfile","staffMagicAttack","attack","true","spell","arcane","delivery:projectile","","theme:astral"
"basicCardProfile","sceptreArcaneAttack","attack","true","spell","arcane","delivery:projectile","","theme:blight"
"basicCardProfile","unarmedGuard","guard","false","","","","",""
"basicCardProfile","weaponGuard","guard","false","","","","",""
"basicCardProfile","shieldGuard","guard","false","","","","",""
"basicCardProfile","staffGuard","guard","false","","","","","theme:astral"
"basicCardProfile","sceptreGuard","guard","false","","","","",""
"basicCardProfile","unarmedTechnique","technique","false","","","","technique:flourish",""
"basicCardProfile","weaponTechnique","technique","false","","","","technique:flourish",""
"basicCardProfile","bowTechnique","technique","false","","","","technique:precision",""
"basicCardProfile","staffTechnique","technique","false","","","","",""
